"latitude","longitude","genus","species","dbh","year_min","year_max","crown","height","common","location","ref","maintenance","maturity","planted","updated","health","structure","description","family","address","significance","age"
"-37.79176467"," 144.99439764","Ulmus","U. minor 'Atinia'",154,NA,NA,NA,28,"English Elm","park",1,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Example of the Species, Outstanding Size, Particularly Old","100+ years"
"-37.791801459"," 144.99164761","Quercus","Q. ilex",84,NA,NA,NA,16,"Holm Oak","park",2,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 GOLD STREET, CLIFTON HILL, 3068","Particularly Old, Rare or Localised, Horticultural Value","100+ years"
"-37.79089667"," 144.99276068","Ulmus","U. minor 'Atinia'",120,NA,NA,NA,23,"English Elm","park",3,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Historic Value, Outstanding Size, Particularly Old","100+ years"
"-37.791352354"," 144.99386597","Ulmus","U. minor 'Atinia'",139,NA,NA,NA,26,"English Elm","park",4,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 GOLD STREET, CLIFTON HILL, 3068","Outstanding Size, Aesthetic Value, Particularly Old","100+ years"
"-37.791708484"," 144.99422991","Ulmus","U. minor 'Atinia'",76,NA,NA,NA,16,"English Elm","street",5,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 HODDLE STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value","61-80 years"
"-37.791708484"," 144.99422991","Ulmus","U. minor 'Atinia'",64,NA,NA,NA,10,"English Elm","street",6,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 HODDLE STREET, CLIFTON HILL, 3068","Location of Landscape Context, Environmental Value, Aesthetic Value","41-60 years"
"-37.79089667"," 144.99276068","Ulmus","U. x hollandica",82,NA,NA,NA,19,"Dutch Elm","park",7,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value, Particularly Old","100+ years"
"-37.79089667"," 144.99276068","Ulmus","U. x hollandica",92,NA,NA,NA,19,"Dutch Elm","park",8,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value, Particularly Old","100+ years"
"-37.790918817"," 144.99285316","Butia","B. capitata",50,NA,NA,NA,9,"Blue Palm","park",9,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 GOLD STREET, CLIFTON HILL, 3068","Particularly Old, Outstanding Size, Rare or Localised","81-100 years"
"-37.790519854"," 144.99097805","Ulmus","U. x hollandica",103,NA,NA,NA,21,"Dutch Elm","park",10,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 GOLD STREET, CLIFTON HILL, 3068","Significant Habitat Value, Environmental Value, Aesthetic Value, Outstanding Size, Particularly Old","100+ years"
"-37.79000793"," 144.9909557","Phoenix","P. canariensis",78,NA,NA,NA,16,"Canary Island Date Palm","park",11,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 GOLD STREET, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Size, Location of Landscape Context","61-80 years"
"-37.790075656"," 144.99103373","Washingtonia","W. filifera",80,NA,NA,NA,13,"Desert Fan Palm","park",12,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"0 GOLD STREET, CLIFTON HILL, 3068","Location of Landscape Context","41-60 years"
"-37.790075656"," 144.99103373","Phoenix","P. canariensis",82,NA,NA,NA,12,"Canary Island Date Palm","park",13,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"2 TURNBULL STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context","61-80 years"
"-37.788293713"," 144.99324774","Phoenix","P. canariensis",74,NA,NA,NA,12,"Canary Island Date Palm","park",14,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"2 TURNBULL STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context","61-80 years"
"-37.789824927"," 144.99458065","Ulmus","U. minor 'Atinia'",108,NA,NA,NA,18,"English Elm","street",16,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"2 TURNBULL STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context, Particularly Old","81-100 years"
"-37.787626187"," 144.99295623","Quercus","Q. ilex",80,NA,NA,NA,14,"Holm Oak","park",17,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"402 QUEENS PARADE, FITZROY NORTH, 3068","Rare or Localised, Aesthetic Value, Particularly Old, Outstanding Size, Location of Landscape Context","81-100 years"
"-37.787611419"," 144.99306678","Arbutus","A. unedo",63,NA,NA,NA,6,"Irish Strawberry Tree","park",18,NA,"Mature",NA,"2012-08-16",NA,NA,NA,NA,"416 QUEENS PARADE, FITZROY NORTH, 3068","Particularly Old, Rare or Localised","61-80 years"
